clave,descripcion
Q25,OTRAS MALFORMACIONES CONGENITAS DE LAS GRANDES ARTERIAS
Q26,OTRAS MALFORMACIONES CONGENITAS DE LAS GRANDES VENAS
Q27,OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA VASCULAR PERIFERICO
Q28,OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA CIRCULATORIO
Q30,MALFORMACIONES CONGENITAS DE LA NARIZ
Q31,MALFORMACIONES CONGENITAS DE LA LARINGE
Q32,MALFORMACIONES CONGENITAS DE LA TRAQUEA Y DE LOS BRONQUIOS
Q33,MALFORMACIONES CONGENITAS DEL PULMON
Q34,OTRAS MALFORMACIONES CONGENITAS DEL APARATO RESPIRATORIO
Q35,FISURA DEL PALADAR
Q36,LABIO LEPORINO
Q37,FISURA DEL PALADAR CON LABIO LEPORINO
Q38,"OTRAS MALFORMACIONES CONGENITAS DE LA LENGUA, BOCA Y FARINGE"
Q39,MALFORMACIONES CONGENITAS DEL ESOFAGO
Q40,OTRAS MALFORMACIONES CONGENITAS DE LA PARTE SUPERIOR DEL TUBO DEGESTIVO
Q41,AUSENCIA ATRESIA Y ESTENOSIS CONGENITA DEL INTESTINO DELGADO
Q42,AUSENCIA ATRESIA Y ESTENOSIS CONGENITA DEL INTESTINO GRUESO
Q43,OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO
Q44,MALFORMACIONES CONGENITAS DE LA VESICULA Y CONDUCTOS BILIARES E HIGADO
Q45,OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO
Q50,"MALFORMACIONES CONGENITAS DE LOS OVARIOS, TROMPAS DE FALOPIO Y LIGAMENTOS ANCHOS"
Q51,MALFORMACIONES CONGENITAS DEL UTERO Y CUELLO UTERINO
Q52,OTRAS MALFORMACIONES CONGENITAS DE LOS GENITALES FEMENINOS
Q53,TESTICULO NO DESCENDIDO
Q54,HIPOSPADIAS
Q55,OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS
Q56,SEXO INDETERMINADO Y PSEUDOHERMAFRODITISMO
Q60,AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLASICAS DEL RIÑON
Q61,ENFERMEDAD QUISTICA DEL RIÑON
Q62,DEFECTOS OBSTRUCTIVOS CONGENITOS DE PELVIS RENAL Y MALFORMACION CONGENITA DEL URETER
Q63,OTRAS MALFORMACIONES CONGENITAS DEL RIÑON
Q64,OTRAS MALFORMACIONES CONGENITAS DEL APARATO URINARIO
Q65,DEFORMIDADES CONGENITAS DE LA CADERA
Q66,DEFORMIDADES CONGENITAS DE LOS PIES
Q67,"DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA, CARA, COLUMNA VERTEBRAL Y TORAX"
Q68,OTRAS DEFORMIDADES OSTEOMUSCULARES CONGENITAS
Q69,POLIDACTILIA
Q70,SINDACTILIA
Q71,DEFECTOS POR REDUCCION DEL MIEMBRO SUPERIOR
Q72,DEFECTOS POR REDUCCION DEL MIEMBRO INFERIOR
Q73,DEFECTOS POR REDUCCION DE MIEMBRO NO ESPECIFICADO
Q74,OTRAS MALFORMACIONES CONGENITAS DE MIEMBROS
Q75,OTRAS MALFORMACIONES CONGENITAS DEL CRANEO Y HUESOS DE LA CARA
Q76,MALFORMACIONES CONGENITAS DE LA COLUMNA VERTEBRAL Y HUESOS DEL TORAX
Q77,OSTEOCONDRODISPLASIA CON DEFECTO DEL CRECIMIENTO DE HUESOS LARGOS Y COLUMNA VERTEBRAL
Q78,OTRAS OSTEOCONDRODISPLASIAS
Q79,MALFORMACIONES CONGENITAS DEL SISTEMA OSTEOMUSCULAR NO CLASIFICADAS EN OTRA PARTE
Q80,ICTIOSIS CONGENITA
Q81,EPIDERMOLISIS BULLOSA
Q82,OTRAS MALFORMACIONES CONGENITA DE LA PIEL
Q83,MALFORMACIONES CONGENITAS DE LA MAMA
Q84,OTRAS MALFORMACIONES CONGENITAS DE LAS FANERAS
Q85,FACOMATOSIS NO CLASIFICADA EN OTRA PARTE
Q86,SINDROMES DE MALFORMACION CONGENITA POR CAUSAS EXOGENAS CONOCIDAS NO CLASIFICADAS EN  OTRA PARTE
Q87,OTROS SINDROMES DE MALFORMACION CONGENITA ESPECIFICA AFECTANDO MULTIPLES SISTEMAS
Q89,OTRAS MALFORMACIONES CONGENITAS NO CLASIFICADAS EN OTRA PARTE
Q90,SINDROME DE DOWN
Q91,SINDROME DE EDWARDS Y SINDROME DE PATAU
Q92,"OTRAS TRISOMIAS Y TRISOMIAS PARCIALES DE LOS AUTOSOMAS, NO CLASIFICADAS EN OTRA PARTE"
Q93,"MONOSOMIAS Y SUPRESIONES DE LOS AUTOSOMAS, NO CLASIFICADAS EN OTRA PARTE"
Q95,REORDENAMIENTOS EQUILIBRADOS Y MARCADORES ESTRUCTURALES NO CLASIFICADOS EN OTRA PARTE
Q96,SINDROME DE TURNER
Q97,"OTRAS ANORMALIDADES DE LOS CROMOSOMAS DEL SEXO, CON FENOTIPO FEMENINO NO CLASIFICADAS EN OTRA PARTE"
Q98,"OTRAS ANORMALIDADES DE LOS CROMOSOMAS DEL SEXO, CON FENOTIPO MASCULINO NO CLASIFICADAS EN OTRA PARTE"
Q99,OTRAS ANORMALIDADES CROMOSOMICAS NO CLASIFICADAS EN OTRA PARTE
R00,ANORMALIDADES DEL LATIDO CARDIACO
R01,SOPLOS Y OTROS SONIDOS CARDIACOS
R02,GANGRENA NO CLASIFICADA EN OTRA PARTE
R03,LECTURA DE PRESION ARTERIAL ANORMAL SIN DIAGNOSTICO
R04,HEMORRAGIAS DE LAS VIAS RESPIRATORIAS
R05,TOS
R06,ANORMALIDADES DE LA RESPIRACION
R07,DOLOR EN PECHO Y GARGANTA
R09,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS CIRCULATORIO Y RESPIRATORIO
R10,DOLOR ABDOMINAL Y PELVICO
R11,NAUSEA Y VOMITO
R12,ACIDEZ
R13,DISFAGIA
R14,FLATULENCIA Y AFECCIONES AFINES
R15,INCONTINENCIA FECAL
R16,HEPATOMEGALIA Y ESPLENOMEGALIA NO CLASIFICADAS EN OTRA PARTE
R17,ICTERICIA NO ESPECIFICADA
R18,ASCITIS
R19,OTROS SINTOMAS Y SIGNOS INVOLUCRANDO EL SISTEMA DIGESTIVO Y ABDOMEN
R20,ALTERACIONES DE LA SENSIBILIDAD CUTANEA
R21,SALPULLIDO Y OTRAS ERUPCIONES DE LA PIEL NO ESPECIFICADAS
R22,"TUMEFACCION, MASA O PROMINENCIA DE LA PIEL Y TEJIDO SUBCUTANEO LOCALIZADAS"
R23,OTROS CAMBIOS EN LA PIEL
R25,MOVIMIENTOS INVOLUNTARIOS ANORMALES
R26,ANORMALIDADES DE LA MARCHA Y LA MOVILIDAD
R27,OTRAS FALLAS DE COORDINACION
R29,OTROS SINTOMAS Y SIGNOS INVOLUCRANDO LOS SISTEMAS NERVIOSO Y OSTEOMUSCULAR
R30,DOLOR ASOCIADO CON LA MICCION
R31,HEMATURIA NO ESPECIFICADA
R32,INCONTINENCIA URINARIA NO ESPECIFICADA
R33,RETENCION DE ORINA
R34,ANURIA Y OLIGURIA
R35,POLIURIA
R36,DESCARGA URETRAL
R39,OTROS SINTOMAS Y SIGNOS INVOLUCRANDO EL SISTEMA URINARIO
R40,"SOMNOLENCIA, ESTUPOR Y COMA"
R41,OTROS SINTOMAS Y SIGNOS INVOLUCRANDO FUNCIONES COGNOCITIVAS Y LA CONCIENCIA
R42,MAREO Y DESVANECIMIENTO
R43,TRASTORNOS DEL OLFATO Y GUSTO
R44,OTROS SINTOMAS Y SIGNOS INVOLUCRANDO SENSACIONES Y PERCEPCIONES GENERALES
R45,SINTOMAS Y SIGNOS INVOLUCRANDO EL ESTADO EMOCIONAL
R46,SINTOMAS Y SIGNOS INVOLUCRANDO APARIENCIA Y CONDUCTA
R47,ALTERACIONES DEL HABLA NO CLASIFICADOS EN OTRA PARTE
R48,DISLEXIA Y OTRAS DISFUNCIONES SIMBOLICAS NO CLASIFICADAS EN OTRA PARTE
R49,ALTERACIONES DE LA VOZ
R50,FIEBRE DE ORIGEN DESCONOCIDO
R51,CEFALEA
R52,DOLOR NO CLASIFICADO EN OTRA PARTE
R53,MALESTAR Y FATIGA
R54,SENILIDAD
R55,SINCOPE Y COLAPSO
R56,CONVULSIONES NO CLASIFICADAS EN OTRA PARTE
R57,CHOQUE NO CLASIFICADO EN OTRA PARTE
R58,HEMORRAGIA NO CLASIFICADA EN OTRA PARTE
R59,ADENOMEGALIA
R60,EDEMA NO CLASIFICADA EN OTRA PARTE
R61,HIPERHIDROSIS
R62,FALTA DEL DESARROLLO FISIOLOGICO NORMAL
R63,SINTOMAS Y SIGNOS CONCERNIENTES A LA ALIMENTACION Y A LA INGESTION DE LIQUIDOS
R64,CAQUEXIA
R68,OTROS SINTOMAS Y SIGNOS GENERALES
R69,CAUSAS DE MORBILIDAD DESCONOCIDAS Y NO ESPECIFICADAS
R70,VELOCIDAD DE ERITROSEDIMENTACION ELEVADA Y OTRAS ANORMALIDADES DE LA VISCOSIDAD DEL PLASMA
R71,ANORMALIDAD DE LOS ERITROCITOS
R72,ANORMALIDADES DE LOS LEUCOCITOS NO CLASIFICADAS EN OTRA PARTE
R73,NIVEL ELEVADO DE GLUCOSA EN SANGRE
R74,NIVEL ANORMAL DE ENZIMAS EN SUERO
R75,EVIDENCIAS DE LABORATORIO DEL VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH)
R76,OTROS HALLAZGOS INMUNOLOGICOS ANORMALES EN SUERO
R77,OTRAS ANORMALIDADES DE LAS PROTEINAS PLASMATICAS
R78,HALLAZGOS DE DROGAS Y OTRAS SUSTANCIAS QUE BORMALMENTE NO SE ENCUENTRAN EN LA SANGRE
R79,OTROS HALLAZGOS ANORMALES EN LA QUIMICA DE LA SANGRE
R80,PROTEINURIA AISLADA
R81,GLUCOSURIA
R82,OTROS HALLAZGOS ANORMALES EN LA ORINA
R83,HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORAQUIDEO
R84,HALLAZGOS ANORMALES EN ESPECIMENES DE ORGANOS RESPIRATORIOS Y TORACICOS
R85,HALLAZGOS ANORMALES EN ESPECIMENES DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL
R86,HALLAZGOS ANORMALES EN ESPECIMENES DE ORGANOS GENITALES MASCULINOS
R87,HALLAZGOS ANORMALES EN ESPECIMENES DE ORGANOS GENITALES FEMENINOS
R89,"HALLAZGOS ANORMALES EN ESPECIMENES DE OTROS ORGANOS, SISTEMAS Y TEJIDOS"
R90,HALLAZGOS ANORMALES SOBRE DIAGNOSTICO DE IMAGEN DEL SISTEMA NERVIOSO CENTRAL
R91,HALLAZGOS ANORMALES SOBRE DIAGNOSTICO DE IMAGEN DE PULMON
R92,HALLAZGOS ANORMALES SOBRE DIAGNOSTICO DE IMAGEN DE LA MAMA
R93,HALLAZGOS ANORMALES SOBRE DIAGNOSTICO DE IMAGEN DE OTRAS ESTRUCTURAS DEL CUERPO
R94,RESULTADOS ANORMALES DE ESTUDIOS FUNCIONALES
R95,SINDROME DE MUERTE SUBITA INFANTIL
R96,OTRAS MUERTES SUBITAS DE CAUSA DESCONOCIDA
R97,MUERTE NO ATENDIDA
R99,OTRAS CAUSAS MAL DEFINIDAS E INESPECIFICAS DE MORTALIDAD
S00,TRAUMATISMO SUPERFICIAL DE LA CABEZA
S01,HERIDA DE LA CABEZA
S02,FRACTURA DEL CRANEO Y HUESOS FACIALES
S03,"LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA CABEZA"
S04,TRAUMATISMO DE LOS NERVIOS CRANEALES
S05,TRAUMATISMO DEL OJO Y ORBITA
S06,TRAUMATISMO INTRACRANEAL
S07,TRAUMATISMO POR APLASTAMIENTO DE LA CABEZA
S08,AMPUTACION TRAUMATICA DE PARTE DE LA CABEZA
S09,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA CABEZA
S10,TRAUMATISMO SUPERFICIAL DEL CUELLO
S11,HERIDA DEL CUELLO
S12,FRACTURA DEL CUELLO
S13,"LUXACION, ESGUINCE Y TROCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL CUELLO"
S14,TRAUMATISMO DE LA MEDULA ESPINAL Y DE NERVIOS A NIVEL DEL CUELLO
S15,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL CUELLO
S16,TRAUMATISMO DE TENDON Y MUSCULOS A NIVEL DEL CUELLO
S17,TRAUMATISMO POR APLASTAMIENTO DEL CUELLO
S18,AMPUTACION TRAUMATICA A NIVEL DEL CUELLO
S19,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL CUELLO
S20,LESION SUPERFICIAL DEL TORAX
S21,HERIDA DEL TORAX
S22,"FRACTURA DE LAS COSTILLAS, ESTERNON Y COLUMNA TORACICA (DORSAL)"
S23,"LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL TORAX"
S24,TRAUMATISMO DE NERVIOS Y MEDULA ESPINAL A NIVEL DEL TORAX
S25,TRAUMATISMO DE VASOS SANGUINEOS DEL TORAX
S26,TRAUMATISMO DEL CORAZON
S27,TRAUMATISMO DE OTROS ORGANOS INTRATORACICOS Y DE LOS NO ESPECIFICADOS
S28,TRAUMATISMO POR APLASTAMIENTO DEL TORAX Y AMPUTACION TRAUMATICA DE PARTE DEL TORAX
S29,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL TORAX
S30,"TRAUMATISMO SUPERFICIAL DEL ABDOMEN, REGION LUMBOSACRA Y PELVIS"
S31,"HERIDA DEL ABDOMEN, REGION LUMBOSACRA Y PELVIS"
S32,FRACTURA DE LA COLUMNA LUMBAR Y PELVIS
S33,"LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA COLUMNA LUMBAR Y PELVIS"
S34,"TRAUMATISMO DE LOS NERVIOS Y MEDULA ESPINAL LUMBAR A NIVEL DEL ABDOMEN, REGION LUMBOSACRA Y PELVIS"
S35,"TRAUMATISMO DE VASOS SANGUINEOS AL NIVEL DEL ABDOMEN, REGION LUMBOSACRA Y PELVIS"
S36,TRAUMATISMO DE ORGANOS INTRA-ABDOMINALES
S37,TRAUMATISMO DE ORGANOS PELVICOS
S38,"TRAUMATISMO POR APLASTAMIENTO Y AMPUTACION TRAUMATICA DE PARTE DEL ABDOMEN, REGION LUMBOSACRA Y PELVIS"
S39,"OTROS TRAUMATISMOS NO ESPECIFICADOS DEL ABDOMEN, REGION LUMBOSACRA Y PELVIS"
S40,TRAUMATISMO SUPERFICIAL DEL HOMBRO Y BRAZOS
S41,HERIDA DE HOMBRO Y BRAZOS
S42,FRACTURA DE HOMBRO Y BRAZOS
S43,"LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA CINTURA ESCAPULAR"
S44,TRAUMATISMO DE NERVIOS A NIVEL DEL HOMBRO Y BRAZO
S45,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL HOMBRO Y BRAZO
S46,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DEL HOMBRO Y BRAZO
S47,TRAUMATISMO POR APLASTAMIENTO DEL HOMBRO Y BRAZO
S48,AMPUTACION TRAUMATICA DEL HOMBRO Y BRAZO
S49,OTROS TRAUMATISMOS NO ESPECIFICADOS DEL HOMBRO Y BRAZO
S50,TRAUMATISMO SUPERFICIAL DEL ANTEBRAZO Y CODO
S51,HERIDA DEL ANTEBRAZO Y CODO
S52,FRACTURA DEL ANTEBRAZO
S53,"LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL CODO"
S54,TRAUMATISMO DE NERVIOS A NIVEL DEL ANTEBRAZO
S55,TRAUMATISMO DE LOS VASOS SANGUINEOS A NIVEL DEL ANTEBRAZO
S56,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DEL ANTEBRAZO
S57,TRAUMATISMO POR APLASTAMIENTO DEL ANTEBRAZO
S58,AMPUTACION TRAUMATICA DEL ANTEBRAZO
S59,OTRAS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL ANTEBRAZO
S60,TRAUMATISMO SUPERFICIAL DE LA MUÑECA Y MANO
S61,HERIDA DE LA MUÑECA Y MANO
S62,"FRACTURA A NIVEL DEL CARPO, METACARPIO O FALANGES"
S63,"LUXACION, ESGUINCE Y TORCEDURA DE LAS ARTICULACIONES Y LIGAMENTOS A NIVEL DE LA MUÑECA Y MANO"
S64,TRAUMATISMO DE NERVIOS A NIVEL DE LA MUÑECA Y MANO
S65,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DE LA MUÑECA Y MANO
S66,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA MUÑECA Y MANO
S67,TRAUMATISMO POR APLASTAMIENTO DE LA MUÑECA Y MANO
S68,AMPUTACION TRAUMATICA DE LA MUÑECA Y MANO
S69,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA MUÑECA Y MANO
S70,TRAUMATISMO SUPERFICIAL DE LA CADERA Y MUSLO
S71,HERIDA DE LA CADERA Y MUSLO
S72,FRACTURA DEL FEMUR
S73,"LUXACION, ESGUINCE Y TORCEDURA DE LAS ARTICULACIONES Y LIGAMENTOS DE LA CADERA"
S74,TRAUMATISMO DE NERVIOS A NIVEL DE LA CADERA Y MUSLO
S75,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DE LA CADERA Y MUSLO
S76,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA CADERA Y MUSLO
S77,TRAUMATISMO POR APLSTAMIENTO DE LA CADERA Y MUSLO
S78,AMPUTACION TRAUMATICA DE LA CADERA Y MUSLO
S79,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA CADERA Y MUSLO
S80,TRAUMATISMO SUPERFICIAL DE LA PIERNA
S81,HERIDA DE LA PIERNA
S82,FRACTURA DE LA TIBIA Y TOBILLO
S83,"LUXACION, ESGUINCE Y TORCEDURA DE LAS ARTICULACIONES Y LIGAMENTOS DE LA RODILLA"
S84,TRAUMATISMO DE NERVIOS A NIVEL DE LA PIERNA
S85,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DE LA PIERNA
S86,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA PIERNA
S87,TRAUMATISMO POR APLASTAMIENTO DE LA PIERNA
S88,AMPUTACION TRAUMATICA DE LA PIERNA
S89,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA PIERNA
S90,TRAUMATISMO SUPERFICIAL DEL TOBILLO Y PIE
S91,HERIDA DEL TOBILLO Y PIE
S92,"FRACTURA DEL PIE, EXCEPTO EL TOBILLO"
S93,"LUXACION, ESGUINCE Y TORCEDURA DE LAS ARTICULACIONES Y LIGAMENTOS A NIVEL DEL TOBILLO Y  PIE"
S94,TRAUMATISMO DE NERVIOS A NIVEL DEL TOBILLO Y PIE
S95,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL TOBILLO Y PIE
S96,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DEL TOBILLO Y PIE
S97,TRAUMATISMO POR APLASTAMIENTO A NIVEL DEL TOBILLO Y PIE
S98,AMPUTACION TRAUMATICA DEL TOBILLO Y PIE
S99,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL TOBILLO Y PIE
T00,TRAUMATISMOS SUPERFICIALES INVOLUCRANDO MULTIPLES REGIONES DEL CUERPO
T01,HERIDAS INVOLUCRANDO MULTIPLES REGIONES DEL CUERPO
T02,FRACTURAS INVOLUCRANDO MULTIPLES REGIONES DEL CUERPO
T03,"LUXACIONES, TORCEDURAS Y ESGUINCE INVOLUCRANDO MULTIPLES REGIONES DEL CUERPO"
T04,TRAUMATISMOS POR APLASTAMIENTO INVOLUCRANDO MULTIPLES REGIONES DEL CUERPO
T05,AMPUTACIONES TRAUMATICAS INVOLUCRANDO MULTIPLES REGIONES DEL CUERPO
T06,"OTROS TRAUMATISMOS INVOLUCRANDO MULTIPLES REGIONES DEL CUERPO, NO CLASIFICADAS EN OTRA PARTE"
T07,TRAUMATISMO MULTIPLES NO ESPECIFICADOS
T08,FRACTURA DE COLUMNA VERTEBRAL NIVEL NO ESPECIFICADO
T09,OTROS TRAUMATISMOS DE COLUMNA VERTEBRAL Y TRONCO NIVEL NO ESPECIFICADO
T10,FRACTURA DE MIEMBRO SUPERIOR NIVEL NO ESPECIFICADO
T11,OTROS TRAUMATISMOS DE MIEMBRO SUPERIOR NIVEL NO ESPECIFICADO
T12,FRACTURA DE MIEMBRO INFERIOR NIVEL NO ESPECIFICADO
T13,OTROS TRAUMATISMOS DE MIEMBRO INFERIOR NIVEL NO ESPECIFICADO
T14,TRAUMATISMO DE REGIONES DEL CUERPO NO ESPECIFICADAS
T15,CUERPO EXTRAÑO EN LA PARTE EXTERNA EL OJO
T16,CUERPO EXTRAÑO EN EL OIDO
T17,CUERPO EXTRAÑO EN VIAS RESPIRATORIAS
T18,CUERPO EXTRAÑO EN TUBO DIGESTIVO
T19,CUERPO EXTRAÑO EN VIAS GENITOURINARIAS
T20,QUEMADURA Y CORROSION DE CABEZA Y CUELLO
T21,QUEMADURA Y CORROSION DEL TRONCO
T22,"QUEMADURA Y CORROSION DEL HOMBRO, MIEMBRO SUPERIOR EXCEPTO MUÑECA Y MANO"
T23,QUEMADURA Y CORROSION DE LA MUÑECA Y MANO
T24,"QUEMADURA Y CORROSION DE LA CADERA, MIEMBROS INFERIORES, EXCEPTO TOBILLO Y PIES"
T25,QUEMADURA Y CORROSION DE TOBILLO Y PIES
T26,QUEMADURA Y CORROSION CONFINADA AL OJO Y SUS ANEXOS
T27,QUEMADURA Y CORROSION DE VIAS RESPIRATORIAS
T28,QUEMADURA Y CORROSION DE OTROS ORGANOS INTERNOS
T29,QUEMADURAS Y CORROSIONES DE MULTIPLES REGIONES DEL CUERPO
T30,QUEMADURA Y CORROSION DE REGION NOESPECIFICADA DEL CUERPO
T31,QUEMADURAS CLASIFICADAS DE ACUERDO A LA EXTENSION DE LA SUPERFICIE INVOLUCRADA DEL  CUERPO
T32,CORROSIONES CLASIFICADAS DE ACUERDO A LA EXTENSION DE LA SUPERFICIE INVOLUCRADA DEL CUERPO
T33,CONGELACION SUPERFICIAL
T34,CONGELACION CON NECROSIS TISULAR
T35,CONGELACION INVOLUCRANDO MULTIPLES REGIONES DEL CUERPO Y CONGELACION NO ESPECIFICADO
T36,ENVENENAMIENTO POR ANTIBIOTICOS SISTEMICOS
T37,ENVENENAMIENTO POR OTROS ANTI-INFECCIOSOS Y ANTIPARASITARIOS SISTEMICOS
T38,ENVENENAMIENTO POR HORMONAS Y SUS SUSTITUTOS Y ANTAGONISTAS SINTETICOS NO CLASIFICADOS EN OTRA PARTE
T39,"ENVENENAMIENTO POR ANALGESICOS NO NARCOTICOS, ANTIPIRETICOS Y ANTIRREUMATICOS"
T40,ENVENENAMIENTO POR NARCOTICOS Y PSICODISLEPTICOS (ALUCINOGENOS)
T41,ENVENENAMIENTO POR ANESTESICOS Y GASES TERAPEUTICOS
T42,"ENVENENAMIENTO POR ANTIEPILEPTICOS, HIPNOTICOS-SEDANTES Y DROGAS ANTIPARKINSONIANAS"
T43,ENVENENAMIENTO POR PSICOTROPICOS NO CLASIFICADOS EN OTRA PARTE
T44,ENVENENAMIENTO POR DROGAS AFECTANDO PRINCIPALMENTE EL SISTEMA NERVIOSO AUTONOMO
T45,ENVENENAMIENTO POR AGENTES SISTEMICOS Y HEMATOLOGICOS NO CLASIFICADOS EN OTRA PARTE
T46,ENVENENAMIENTO POR AGENTES AFECTANDO PRINCIPALMENTE AL SISTEMA CARDIOVASCULAR
T47,ENVENENAMIENTO POR AGENTES AFECTANDO PRINCIPALMENTE AL SISTEMA GASTROINTESTINAL
T48,ENVENENAMIENTO POR AGENTES ACTUANDO PRINCIPALMENTE SOBRE MUSCULOS LISOS Y ESQUELETICOS Y SISTEMA RESPIRATORIO
T49,"ENVENENAMIENTO POR AGENTES TOPICOS AFECTANDO PRINCIPALMENTE PIEL Y MEMBRANA MUCOSA Y POR DROGAS OFTALMOLOGICAS, OTORRINOLARINGOLOGICAS Y DENTALES"
T50,"ENVENENAMIENTO POR DIURETICOS Y OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS NO ESPECIFICADAS"
T51,EFECTO TOXICO DEL ALCOHOL
T52,EFECTO TOXICO DE DISOLVENTES ORGANICOS
T53,EFECTO TOXICO DE DERIVADOS HALOGENADOS DE HIDROCARBUROS ALIFATICOS Y AROMATICOS
T54,EFECTO TOXICO DE SUSTANCIAS CORROSIVAS
T55,EFECTO TOXICO DE JABON Y DETERGENTES
T56,EFECTO TOXICO DE METALES
T57,EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS
T58,EFECTO TOXICO DE MONOXIDO DE CARBONO
T59,"EFECTO TOXICO DE OTROS GASES, HUMOS Y VAPORES"
T60,EFECTO TOXICO DE PLAGUICIDAS (PESTICIDAS)
T61,EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS DE ALIMENTOS MARINOS
T62,EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTOS
T63,EFECTO TOXICO POR CONTACTO CON ANIMALES VENENOSOS
T64,EFECTO TOXICO DE AFLATOXINA Y MICOTOXINAS CONTAMINANTES DE ALIMENTOS
T65,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS
T66,EFECTOS NO ESPECIFICADOS DE LA RADIACION
T67,EFECTOS DE CALOR Y LUZ
T68,HIPOTERMIA
T69,OTROS EFECTOS DE TEMPERATURA BAJA
T70,EFECTOS DE PRESION DE AIRE Y PRESION DE AGUA
T71,ASFIXIA
T73,EFECTOS DE OTRAS PRIVACIONES
T74,SINDROMES DE MALTRATO
T75,EFECTOS DE OTRAS CAUSAS EXTERNAS
T78,"EFECTOS ADVERSOS, NO CLASIFICADOS EN OTRA PARTE"
T79,"CIERTAS COMPLICACIONES PREMATURAS DE TRAUMATISMOS, NO CLASIFICADOS EN OTRA PARTE"
T80,"COMPLICACIONES DEBIDO A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA"
T81,COMPLICACIONES DE PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
T82,"COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS CARDIOVASCULARES"
T83,"COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS GENITOURINARIOS"
T84,"COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS"
T85,"DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS INTERNOS"
T86,FALLA Y RECHAZO DE ORGANOS Y TEJIDOS TRASPLANTADOS
T87,COMPLICACIONES PECULIARES DE LA AMPUTACION Y REINSERCION
T88,OTRAS COMPLICACIONES DE CUIDADOS QUIRURGICOS Y MEDICOS NO CLASIFICADOS EN OTRA PARTE
T90,SECUELA DE TRAUMATISMO DE LA CABEZA
T91,SECUELA DE TRAUMATISMO DEL CUELLO Y TRONCO
T92,SECUELA DE TRAUMATISMO DE MIEMBROS SUPERIORES
T93,SECUELA DE TRAUMATISMO DE MIEMBROS INFERIORES
T94,SECUELA DE TRAUMATISMO INVOLUCRANDO REGIONES DEL CUERPO MULTIPLES Y LAS NO ESPECIFICADAS
T95,"SECUELA DE QUEMADURAS, CORROSIONES Y CONGELACION"
